job_id,title,company,city,posted_date,job_type,source,description
KAGGLE_00107,US Citizens Only - Machine Learning Engineer,Codvo.ai,Remote,2022-07-07,,kaggle_2022,"Exposure to scalable machine learning model deployment and MLops.,Experience with machine learning frameworks (e.g. PyTorch, TensorFlow, Scikit-learn, Spacy,…"
KAGGLE_00108,Data Analyst,Ericsson,Noida,2022-07-13,,kaggle_2022,"We are looking for a Data Analyst who will design, develop and maintain high quality Tableau Dashboards.,We organize in cross functional design teams in which…"
KAGGLE_00109,Data Engineer,Recbots,Bangalore,2022-07-23,,kaggle_2022,"Strong understanding of statistics fundamentals, machine learning algorithms such as regression, classification, clustering, recommendation, anomaly detection,…"
KAGGLE_00110,PQA - Product Quality Assure,Volvo Group,Bangalore,,,kaggle_2022,"Product Quality Assurer (PQA) is appointed to a project.,In some cases we also appoint a local PQA for a detailed technical area supporting a main project PQA."
KAGGLE_00111,Java Developer,Recro,Bangalore,2022-07-19,,kaggle_2022,"2.Write well designed, testable, efficient code.,3.Ensure designs are in compliance with specifications.,4.Prepare and produce releases of software components."
KAGGLE_00112,Machine Learning Validation Engineer (169430),"Advanced Micro Devices, Inc.",Bangalore,2022-07-20,,kaggle_2022,"You will contribute to the core team that validates the tests for AMD GPU based compute software stack.,You will be responsible for maintaining the ROCm stack…"
KAGGLE_00113,Data Scientist,BEIING,Delhi,2022-06-30,,kaggle_2022,"We work with financial institutions, Banks, NBFCs & Digital lending firms to improve their collections efficiency using technology, automation intelligence and…"
KAGGLE_00114,Affine Returnship Program,Affine,India,2022-07-07,,kaggle_2022,"To be an eligible candidate entitled to a monthly stipend, all you need is at least a year of relevant work experience.,Expert in Excel and/or VBA."
KAGGLE_00115,Senior Machine Learning Scientist,Algonomy,Bangalore,2022-07-18,,kaggle_2022,"2+ years professional experience implementing machine learning algorithms.,Identifying and solving machine learning problems involving Bayesian optimization,…"
KAGGLE_00116,Machine Learning Engineer - QuantumBlack,McKinsey & Company,Bangalore,2022-06-26,,kaggle_2022,"Professional knowledge of machine learning environments such as regression, decision trees, random forest or deep learning.,Strong coding skills in Python."
KAGGLE_00117,Data Scientist,Serendipity corporate services,Bangalore,2022-07-23,,kaggle_2022,"Machine learning: 3 years (Preferred).,Machine Learning – Good knowledge on machine learning methods like Decision tree, XGBoost, LightGBM etc., and hands-on…"
KAGGLE_00118,ML Engineer - Permanent Remote,Alpha Net Technologies Pvt Ltd,Hyderabad,2022-07-22,,kaggle_2022,"Basic understanding of *data analytics* and/or *machine learning algorithms* (e.g., neural networks, tree-based methods, unsupervised learning, etc) and…"
KAGGLE_00119,Machine Learning Lead,tiket.com,India,2022-07-20,,kaggle_2022,"And process optimization and using models to test the effectiveness of different.,They must have strong experience using a variety of data."
KAGGLE_00120,Machine Learning Engineer ( 3 to 5 yrs),IceCream Labs,Bangalore,2022-06-26,,kaggle_2022,"Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Familiarity with machine learning frameworks (like…"
KAGGLE_00121,Machine Learning Engineer,Multirecruit,Bangalore,2022-07-23,,kaggle_2022,A good understanding of machine learning techniques and demonstrable experience applying them to solve problems using machine learning libraries such as scikit…
