job_id,skill_id,skill_name
KAGGLE_00016,13,Machine Learning
KAGGLE_00017,13,Machine Learning
KAGGLE_00018,13,Machine Learning
KAGGLE_00019,13,Machine Learning
KAGGLE_00019,20,Python
KAGGLE_00020,13,Machine Learning
KAGGLE_00021,13,Machine Learning
KAGGLE_00021,20,Python
KAGGLE_00023,13,Machine Learning
KAGGLE_00024,13,Machine Learning
KAGGLE_00025,13,Machine Learning
KAGGLE_00026,2,Deep Learning
KAGGLE_00027,13,Machine Learning
KAGGLE_00028,13,Machine Learning
KAGGLE_00029,13,Machine Learning
KAGGLE_00030,13,Machine Learning
KAGGLE_00031,13,Machine Learning
KAGGLE_00032,13,Machine Learning
KAGGLE_00033,13,Machine Learning
KAGGLE_00034,13,Machine Learning
KAGGLE_00035,13,Machine Learning
KAGGLE_00036,13,Machine Learning
KAGGLE_00036,29,Statistics
KAGGLE_00037,13,Machine Learning
KAGGLE_00038,2,Deep Learning
KAGGLE_00038,13,Machine Learning
KAGGLE_00041,4,Excel
KAGGLE_00041,13,Machine Learning
KAGGLE_00043,13,Machine Learning
KAGGLE_00044,13,Machine Learning
KAGGLE_00045,13,Machine Learning
KAGGLE_00046,13,Machine Learning
KAGGLE_00047,2,Deep Learning
KAGGLE_00047,13,Machine Learning
KAGGLE_00047,14,NLP
KAGGLE_00048,13,Machine Learning
KAGGLE_00049,2,Deep Learning
KAGGLE_00049,13,Machine Learning
KAGGLE_00050,13,Machine Learning
KAGGLE_00051,13,Machine Learning
KAGGLE_00052,2,Deep Learning
KAGGLE_00052,13,Machine Learning
KAGGLE_00053,13,Machine Learning
KAGGLE_00054,13,Machine Learning
KAGGLE_00055,13,Machine Learning
KAGGLE_00056,13,Machine Learning
KAGGLE_00057,2,Deep Learning
KAGGLE_00057,13,Machine Learning
KAGGLE_00058,13,Machine Learning
KAGGLE_00059,13,Machine Learning
KAGGLE_00060,13,Machine Learning
KAGGLE_00061,13,Machine Learning
KAGGLE_00061,20,Python
KAGGLE_00062,13,Machine Learning
KAGGLE_00063,13,Machine Learning
KAGGLE_00065,13,Machine Learning
KAGGLE_00066,13,Machine Learning
KAGGLE_00067,2,Deep Learning
KAGGLE_00067,13,Machine Learning
KAGGLE_00067,14,NLP
KAGGLE_00068,13,Machine Learning
KAGGLE_00069,13,Machine Learning
KAGGLE_00070,2,Deep Learning
KAGGLE_00070,13,Machine Learning
KAGGLE_00071,13,Machine Learning
KAGGLE_00072,13,Machine Learning
KAGGLE_00073,13,Machine Learning
KAGGLE_00074,13,Machine Learning
KAGGLE_00076,13,Machine Learning
KAGGLE_00077,13,Machine Learning
KAGGLE_00077,29,Statistics
KAGGLE_00078,13,Machine Learning
KAGGLE_00079,13,Machine Learning
KAGGLE_00080,13,Machine Learning
KAGGLE_00081,13,Machine Learning
KAGGLE_00081,29,Statistics
KAGGLE_00082,13,Machine Learning
KAGGLE_00083,13,Machine Learning
KAGGLE_00083,29,Statistics
KAGGLE_00084,15,NumPy
KAGGLE_00084,16,Pandas
KAGGLE_00084,20,Python
KAGGLE_00084,26,SQL
KAGGLE_00085,13,Machine Learning
KAGGLE_00087,13,Machine Learning
KAGGLE_00087,14,NLP
KAGGLE_00087,20,Python
KAGGLE_00088,13,Machine Learning
KAGGLE_00090,13,Machine Learning
KAGGLE_00090,14,NLP
KAGGLE_00090,20,Python
KAGGLE_00091,13,Machine Learning
KAGGLE_00092,13,Machine Learning
KAGGLE_00093,13,Machine Learning
KAGGLE_00093,22,R
KAGGLE_00094,13,Machine Learning
KAGGLE_00095,13,Machine Learning
KAGGLE_00096,13,Machine Learning
KAGGLE_00097,13,Machine Learning
KAGGLE_00097,24,SAS
KAGGLE_00098,13,Machine Learning
KAGGLE_00099,13,Machine Learning
KAGGLE_00101,13,Machine Learning
KAGGLE_00101,20,Python
KAGGLE_00102,13,Machine Learning
KAGGLE_00103,13,Machine Learning
KAGGLE_00104,2,Deep Learning
KAGGLE_00104,13,Machine Learning
KAGGLE_00104,29,Statistics
KAGGLE_00106,13,Machine Learning
KAGGLE_00107,12,MLOps
KAGGLE_00107,13,Machine Learning
KAGGLE_00108,30,Tableau
KAGGLE_00109,13,Machine Learning
KAGGLE_00112,13,Machine Learning
KAGGLE_00114,4,Excel
KAGGLE_00115,13,Machine Learning
